audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
8,4,128,0.0,0.0,0.3,0.0003,0.0003,1,64,0.0,3.1881752,1.0642742,0.55426,0.31341,0.7215743440233237,0.7213436543519008
8,4,128,0.0,0.0,0.3,0.0003,0.0003,1,64,0.0,2.8923783,0.9655315,0.65594,0.31195,0.7623906705539358,0.7611412801246595
8,4,128,0.0,0.0,0.3,0.0003,0.0003,1,64,0.0,2.9206948,0.97498405,0.63938,0.32799,0.7463556851311953,0.7456963851417695
8,4,128,0.0,0.0,0.3,0.0003,0.0003,1,64,0.0,2.9570408,0.98711723,0.63017,0.31341,0.7536443148688047,0.7536818856255236
4,4,256,0.5,0.1,0.5,0.003,0.0005,4,128,0.01,3.0241928,1.0095338,0.61959,0.27405,0.7478134110787172,0.7437285833131057
4,4,256,0.5,0.1,0.5,0.003,0.0005,4,128,0.01,2.8710938,0.95842636,0.6467,0.33236,0.7725947521865889,0.7721927613287508
4,4,256,0.5,0.1,0.5,0.003,0.0005,4,128,0.01,2.865708,0.9566284,0.64417,0.33528,0.750728862973761,0.7482063529910764
4,4,256,0.5,0.1,0.5,0.003,0.0005,4,128,0.01,2.8663843,0.9568541,0.6564,0.31487,0.7653061224489796,0.7635366150481333
4,16,256,0.15,0.2,0.0,0.0003,0.003,8,32,0.01,2.764498,0.9228425,0.67607,0.34985,0.7798833819241983,0.7768517867807753
4,16,256,0.15,0.2,0.0,0.0003,0.003,8,32,0.01,2.8698714,0.9580183,0.63612,0.35277,0.7565597667638484,0.754419452057241
4,16,256,0.15,0.2,0.0,0.0003,0.003,8,32,0.01,2.715823,0.906594,0.68771,0.33965,0.8017492711370262,0.799246127316715
4,16,256,0.15,0.2,0.0,0.0003,0.003,8,32,0.01,2.8589988,0.95438874,0.66111,0.31633,0.7798833819241983,0.7793584702163577
8,16,128,0.2,0.0,0.0,0.0003,0.0003,8,32,0.001,2.9692755,0.9912012,0.63219,0.31487,0.7565597667638484,0.7557636894463224
8,16,128,0.2,0.0,0.0,0.0003,0.0003,8,32,0.001,2.9466114,0.9836355,0.6329,0.30321,0.7434402332361516,0.7439734527308798
8,16,128,0.2,0.0,0.0,0.0003,0.0003,8,32,0.001,2.940178,0.98148793,0.64455,0.32216,0.7623906705539358,0.7624962554309745
8,16,128,0.2,0.0,0.0,0.0003,0.0003,8,32,0.001,2.8651822,0.9564529,0.6438,0.31633,0.7653061224489796,0.7640720619636208
