audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
8,4,128,0,0,0.3,0.0003,0.0003,1,64,0,1.0962611,1.0962611,0.53761,0.293,0.7142857142857143,0.7147822556184998
4,4,256,0.5,0.1,0.5,0.003,0.0005,4,128,0.01,1.0441035,1.0441034,0.60178,0.26822,0.7565597667638484,0.7550110174439194
4,16,256,0.15,0.2,0,0.0003,0.003,8,32,0.01,0.9618748,0.96187484,0.65135,0.31487,0.7740524781341108,0.7709405758345704
8,16,128,0.2,0,0,0.0003,0.0003,8,32,0.001,1.0178227,1.0178226,0.61229,0.3207,0.7332361516034985,0.7316886960825753
4,4,64,0.15,0.3,0.2,0.003,0.001,8,8,0,0.9711369,0.97113687,0.6631,0.3207,0.7798833819241983,0.7800981316861356
4,16,64,0.3,0.1,0.15,0.0005,0.001,8,16,0.001,1.0079836,1.0079834,0.62937,0.29446,0.7594752186588921,0.7590016456367802
16,8,128,0.15,0.15,0.5,0.0003,0.0005,4,128,0.001,1.0967779,1.096778,0.5435,0.27988,0.7157434402332361,0.7160888413124443
16,4,256,0.3,0.15,0.1,0.001,0.0005,4,64,0,0.99463445,0.99463445,0.62737,0.31341,0.7419825072886297,0.7406258072519308
16,8,256,0.2,0.3,0.5,0.001,0.0003,16,32,0,1.0197705,1.0197705,0.61317,0.29009,0.7434402332361516,0.7424187286209216
16,8,256,0.2,0,0.1,0.001,0.0003,4,32,0,1.0186223,1.0186222,0.62426,0.30175,0.739067055393586,0.7385533004180829
4,8,128,0.3,0.5,0.2,0.001,0.0005,1,4,0.001,0.969986,0.969986,0.65946,0.30175,0.7769679300291545,0.7745565537372474
4,16,128,0.5,0.5,0.15,0.003,0.0003,4,64,0,1.0482403,1.0482404,0.59977,0.28863,0.7405247813411079,0.7402633577345435
8,4,256,0,0.1,0.1,0.0003,0.0005,1,32,0,1.0417492,1.0417491,0.60187,0.27259,0.7376093294460642,0.7380138752725783
16,8,256,0,0.15,0.1,0.001,0.0005,1,4,0.01,1.0533665,1.0533664,0.59877,0.27405,0.7419825072886297,0.7424061704484719
8,8,256,0.5,0.1,0.15,0.0003,0.003,4,8,0.01,1.0678532,1.0678531,0.57652,0.28863,0.7448979591836735,0.7455978820670729
16,4,256,0.15,0.1,0.2,0.0005,0.0005,1,64,0,1.4175118,1.4175118,0.31042,0.15452,0.44752186588921283,0.27671543369181945
